Wavenumber,0,1,2,5,10,15,20,30
699.064,0.101756,0.144221,0.163528,0.229944,0.287856,0.311109,0.324735,0.339244
700.028,0.100512,0.143524,0.163015,0.231638,0.285591,0.308432,0.324484,0.340923
700.993,0.102657,0.144753,0.164833,0.232776,0.284436,0.308917,0.327178,0.342024
701.957,0.10601,0.147011,0.167948,0.233713,0.283683,0.310913,0.330142,0.340434
702.921,0.10747,0.147956,0.170002,0.234232,0.282824,0.311889,0.330902,0.338951
703.885,0.10666,0.14691,0.169142,0.233415,0.282562,0.310855,0.328621,0.33917
704.849,0.106175,0.146028,0.166418,0.231303,0.28321,0.308786,0.325128,0.339875
705.814,0.107994,0.146479,0.164706,0.229243,0.28406,0.306644,0.32291,0.339654
706.778,0.111156,0.147058,0.165097,0.22825,0.284372,0.304565,0.321449,0.337903
707.742,0.11411,0.147235,0.16623,0.228252,0.283747,0.30321,0.319751,0.33492
708.706,0.116522,0.147533,0.166684,0.22836,0.281943,0.303591,0.318549,0.332074
709.671,0.118154,0.147689,0.166474,0.22751,0.279643,0.304414,0.317208,0.33007
710.635,0.118929,0.147661,0.166506,0.225593,0.278332,0.303647,0.314414,0.328055
711.599,0.119724,0.14872,0.167145,0.223841,0.278574,0.302474,0.31115,0.32592
712.563,0.121062,0.151097,0.167659,0.22342,0.279402,0.302655,0.308966,0.325265
713.528,0.122226,0.152668,0.167501,0.22366,0.279528,0.302495,0.3076,0.326499
714.492,0.122416,0.151817,0.166858,0.223091,0.278269,0.299978,0.30577,0.327353
715.456,0.121459,0.149678,0.165764,0.221824,0.275854,0.296717,0.303359,0.325997
716.42,0.119872,0.148327,0.164437,0.220758,0.273618,0.295135,0.301989,0.323332
717.384,0.118533,0.148163,0.16359,0.220035,0.272982,0.294851,0.302883,0.321103
718.349,0.117566,0.147955,0.163258,0.219351,0.273386,0.294255,0.304662,0.319551
719.313,0.11638,0.14684,0.162743,0.218396,0.272717,0.292881,0.304538,0.317805
720.277,0.115232,0.145287,0.161646,0.21737,0.270345,0.291066,0.301828,0.315476
721.241,0.115163,0.144197,0.160418,0.216951,0.268121,0.289377,0.299184,0.313377
722.206,0.116095,0.143749,0.15975,0.217079,0.267015,0.288113,0.298748,0.31239
723.17,0.117212,0.143593,0.159611,0.217065,0.265856,0.286845,0.299557,0.312278
724.134,0.118328,0.143448,0.15944,0.216366,0.264127,0.285226,0.299721,0.312052
725.098,0.11943,0.143308,0.159016,0.214834,0.262824,0.283619,0.298754,0.311118
