Wavenumber,30,20,15,10,5,2,1,0,,,30,20,15,10,5,2,1,0,"10 pts SG smooth of ""30""","10 pts SG smooth of ""20""","10 pts SG smooth of ""15""","10 pts SG smooth of ""10""","10 pts SG smooth of ""5""","10 pts SG smooth of ""2""","10 pts SG smooth of ""1""","10 pts SG smooth of ""0"""
2199.4,0.0394839,0.0385322,0.0407205,0.0409705,0.0397939,0.0352499,0.0323858,0.0225416,,,0.0395724314285714,0.0385199485714286,0.0407463,0.04095554,0.0397998371428571,0.0352757714285714,0.0323565,0.0225139285714286,0.0395874671328671,0.0386785783216783,0.040713155944056,0.0411167083916084,0.0400965244755245,0.0350531853146853,0.032642706993007,0.0227364195804196
2200.36,0.0392688,0.0386611,0.0403572,0.0409877,0.0399117,0.0348946,0.0327185,0.0224789,,,0.0390907742857143,0.0386818857142857,0.04030762,0.04101932,0.0399038514285714,0.0348376342857143,0.03278932,0.0225371657142857,0.038994555944056,0.0387946386013986,0.0402958223776224,0.0410620888111888,0.0399167006993007,0.0349916813986014,0.0327312318881119,0.0225670769230769
2201.33,0.0385547,0.0388432,0.0399213,0.0410561,0.0399105,0.034624,0.0330627,0.0225372,,,0.0385575885714286,0.0388543514285714,0.03991524,0.041051,0.0398984228571428,0.0346396685714286,0.03302604,0.0225284314285714,0.0384794876456876,0.0388514923543124,0.0399413447552448,0.0409893988344988,0.0397341923076923,0.0349394385547786,0.0327914092307692,0.0224108841491842
2202.29,0.0377987,0.039073,0.0395115,0.0410754,0.0397596,0.0346458,0.0330886,0.0225343,,,0.0378389,0.0390872114285714,0.0395198485714286,0.0410743714285714,0.0397632257142857,0.0346733914285714,0.0330772857142857,0.0225270828571429,0.0380422622377622,0.0388491395804196,0.0396497230769231,0.0408986384615385,0.0395489993006993,0.0348964567832168,0.032823239020979,0.0222678412587413
2203.26,0.0374242,0.0392149,0.0392972,0.0410048,0.0395692,0.0349849,0.0328941,0.0223903,,,0.0374442057142857,0.0391853628571429,0.0393229314285714,0.0410015085714286,0.0395920771428571,0.03499756,0.0329052342857143,0.0223809485714286,0.0376828797202797,0.0387875802797203,0.0394209573426573,0.0407898076923077,0.0393611216783217,0.0348627360839161,0.0328267212587413,0.0221379482517483
2204.22,0.0373856,0.0389675,0.0393504,0.0408155,0.0394072,0.0353443,0.0327091,0.0221095,,,0.0373796171428571,0.0389396857142857,0.0393609685714286,0.0408144285714286,0.0394001457142857,0.0353120885714286,0.0327279914285714,0.0221132371428571,0.0374013400932401,0.0386668144522144,0.0392550475524476,0.0406629065268065,0.0391705594405594,0.0348382764568765,0.0328018559440559,0.0220212051282051
2205.19,0.0374039,0.038374,0.0394429,0.0405171,0.0390746,0.0352793,0.0326336,0.0218053,,,0.0373823257142857,0.0383866514285714,0.0393964685714286,0.0405090514285714,0.0390317771428571,0.0352263971428571,0.0326297514285714,0.0218055228571429,0.0371621643356643,0.0383391557109557,0.0391224911421911,0.0403842850815851,0.0387467482517483,0.0347549172494173,0.0326355629370629,0.0218126608391608
2206.15,0.0372699,0.0378021,0.0392232,0.0401317,0.0384547,0.034721,0.0325472,0.0215475,,,0.0372513771428571,0.0378167914285714,0.0391899514285714,0.04011556,0.0384420657142857,0.0347119142857143,0.0325232085714286,0.0215356971428571,0.037085472027972,0.0380245125874126,0.0391392491841492,0.0401818151515152,0.0384851312354312,0.0347844864801865,0.032510868997669,0.0216876027972028
2207.11,0.0370261,0.0374719,0.0388815,0.0397753,0.0379304,0.0342177,0.0323744,0.0214033,,,0.0370341828571428,0.0374740257142857,0.0389315142857143,0.0397885771428571,0.0379651228571429,0.0342732514285714,0.0323795,0.02142424,0.037112813986014,0.0377990058275058,0.0392553337995338,0.0401133601398601,0.0384788874125874,0.034922958041958,0.0324768468531468,0.0216676505827506
2208.08,0.0369311,0.0374321,0.0389959,0.0397522,0.038032,0.0344237,0.0323196,0.0215776,,,0.0369599771428571,0.0374518571428571,0.0390491885714286,0.0398000628571428,0.0380885971428571,0.0344916628571428,0.0323528657142857,0.0216092285714286,0.037174658041958,0.0376834543123543,0.0393705403263403,0.0401442836829837,0.0386766223776224,0.0350922766899767,0.0324855727272727,0.0217341603729604
