Wavenumber,5
2199.4,0.0397939
2200.36,0.0399117
2201.33,0.0399105
2202.29,0.0397596
2203.26,0.0395692
2204.22,0.0394072
2205.19,0.0390746
2206.15,0.0384547
2207.11,0.0379304
2208.08,0.038032
2209.04,0.0388847
2210.01,0.0399534
2210.97,0.0404634
2211.94,0.0403681
2212.9,0.0402323
2213.86,0.0401473
2214.83,0.0397599
2215.79,0.0390675
2216.76,0.038366
2217.72,0.0378298
2218.68,0.0375603
2219.65,0.0377122
2220.61,0.0382872
2221.58,0.0389039
2222.54,0.0391088
2223.51,0.0389652
2224.47,0.038973
2225.43,0.0393059
2226.4,0.0394894
2227.36,0.0390796
2228.33,0.038421
2229.29,0.0383019
2230.26,0.0389203
2231.22,0.0396527
2232.18,0.0399416
2233.15,0.0398805
2234.11,0.0397239
2235.08,0.0394743
2236.04,0.0391361
2237.01,0.0388893
2237.97,0.0388576
2238.93,0.0388696
2239.9,0.0387033
2240.86,0.0385156
2241.83,0.0385981
2242.79,0.0388369
2243.75,0.0388894
2244.72,0.0387178
2245.68,0.0386101
2246.65,0.0387717
2247.61,0.039113
2248.58,0.039437
2249.54,0.0396424
2250.5,0.0397489
2251.47,0.0398132
2252.43,0.0398334
2253.4,0.0398104
2254.36,0.0397779
2255.33,0.0397291
2256.29,0.039691
2257.25,0.0396982
2258.22,0.0396629
2259.18,0.0395824
2260.15,0.0396495
2261.11,0.0398901
2262.08,0.0400537
2263.04,0.0400066
2264,0.0398815
2264.97,0.039794
2265.93,0.0397159
2266.9,0.0396763
2267.86,0.0397813
2268.82,0.0399074
2269.79,0.0397957
2270.75,0.039555
2271.72,0.0395181
2272.68,0.0397167
2273.65,0.039944
2274.61,0.040065
2275.57,0.0400731
2276.54,0.0400189
2277.5,0.0399379
2278.47,0.0398494
2279.43,0.0397848
2280.4,0.0397791
2281.36,0.0398703
2282.32,0.0400228
2283.29,0.0401081
2284.25,0.0401177
2285.22,0.0401988
2286.18,0.0403797
2287.14,0.0405375
2288.11,0.0406254
2289.07,0.040694
2290.04,0.0407406
2291,0.0407415
2291.97,0.0407705
2292.93,0.0409261
2293.89,0.0411821
2294.86,0.0413612
2295.82,0.0413315
2296.79,0.0412877
2297.75,0.0415563
2298.72,0.0420437
2299.68,0.04232
2300.64,0.0422498
2301.61,0.0421065
2302.57,0.0421228
2303.54,0.0423034
2304.5,0.0425984
2305.47,0.0429657
2306.43,0.0433547
2307.39,0.0437531
2308.36,0.0441541
2309.32,0.0444909
2310.29,0.0446639
2311.25,0.0446345
2312.21,0.0445414
